id,title,release_year,country,duration,language,certification,gross,budget
814,Under Siege 2: Dark Territory,1995,USA,92,English,R,50024083,6e7
815,Vampire in Brooklyn,1995,USA,100,English,R,19900000,2e7
816,Virtuosity,1995,USA,106,English,R,24048000,3e7
817,Waterworld,1995,USA,176,English,PG-13,88246220,175e6
818,Welcome to the Dollhouse,1995,USA,88,English,R,4771000,8e5
819,A Thin Line Between Love and Hate,1996,USA,108,English,R,34746109,8e6
820,A Time to Kill,1996,USA,149,English,R,108706165,4e7
821,Albino Alligator,1996,USA,97,English,R,326308,5e6
822,Basquiat,1996,USA,108,English,R,2961991,33e5
823,Beavis and Butt-Head Do America,1996,USA,81,English,PG-13,63071133,12e6
824,Blood and Wine,1996,USA,101,English,R,1075288,22e6
825,Bogus,1996,USA,110,English,PG,4357000,3e7
826,Bottle Rocket,1996,USA,91,English,R,1040879,7e6
827,Bound,1996,USA,109,English,R,3798532,45e5
828,Broken Arrow,1996,USA,108,English,R,70450000,5e7
829,Chain Reaction,1996,USA,107,English,PG-13,20550712,5e7
830,City Hall,1996,USA,111,English,R,20300000,4e7
831,Courage Under Fire,1996,USA,116,English,R,58918501,46e6
832,Daylight,1996,USA,114,English,PG-13,32885565,8e7
833,DragonHeart,1996,USA,103,English,PG-13,51317350,57e6
834,Eraser,1996,USA,115,English,R,101228120,1e8
835,Escape from L.A.,1996,USA,101,English,R,25407250,5e7
836,Everyone Says I Love You,1996,USA,101,English,R,9714482,2e7
837,Evita,1996,USA,135,English,PG,49994804,55e6
838,Executive Decision,1996,USA,133,English,R,68750000,55e6
839,Extreme Measures,1996,USA,118,English,R,17305211,38e6
840,Eye for an Eye,1996,USA,101,English,R,53146000,2e7
841,Faithful,1996,USA,91,English,R,2104000,13e6
842,Fled,1996,USA,105,English,R,17100000,25e6
843,Flipper,1996,USA,95,English,PG,20047715,2553e4
844,Flirting with Disaster,1996,USA,92,English,R,14891000,7e6
845,Freeway,1996,USA,102,English,R,NA,3e6
846,From Dusk Till Dawn,1996,USA,108,English,R,25753840,19e6
847,Get on the Bus,1996,USA,120,English,R,5731103,24e5
848,Ghosts of Mississippi,1996,USA,130,English,PG-13,13052741,36e6
849,Girl 6,1996,USA,108,English,R,4903000,12e6
850,Hamlet,1996,UK,150,English,PG-13,4414535,18e6
851,Hamlet,1996,UK,150,English,PG-13,4414535,18e6
852,Happy Gilmore,1996,USA,92,English,PG-13,38624000,12e6
853,Harriet the Spy,1996,USA,100,English,PG,26539321,13e6
854,Independence Day,1996,USA,154,English,PG-13,306124059,75e6
855,Jerry Maguire,1996,USA,139,English,R,153620822,5e7
856,Jingle All the Way,1996,USA,94,English,PG,60573641,6e7
857,Kama Sutra: A Tale of Love,1996,USA,109,English,R,4109095,3e6
858,Kansas City,1996,France,116,English,R,1292527,19e6
859,Kingpin,1996,USA,117,English,PG-13,24944213,27e6
860,Lone Star,1996,USA,135,English,R,13269963,5e6
861,Love and Other Catastrophes,1996,Australia,76,English,R,212285,25e4
862,Mars Attacks!,1996,USA,106,English,PG-13,37754208,7e7
863,Marvin's Room,1996,USA,98,English,PG-13,12782508,23e6
864,Mary Reilly,1996,USA,108,English,R,5600000,47e6
865,Maximum Risk,1996,USA,101,English,R,14095303,25e6
866,Michael Collins,1996,UK,133,English,R,11030963,28e6
867,Mission: Impossible,1996,USA,110,English,PG-13,180965237,8e7
868,Mrs. Winterbourne,1996,USA,105,English,PG-13,10070000,25e6
869,Multiplicity,1996,USA,117,English,PG-13,20101861,45e6
870,My Fellow Americans,1996,USA,101,English,PG-13,22294341,215e5
871,Phenomenon,1996,USA,123,English,PG,104632573,32e6
872,Ransom,1996,USA,139,English,R,136448821,8e7
873,Romeo + Juliet,1996,USA,120,English,PG-13,46338728,145e5
874,Scream,1996,USA,103,English,R,103001286,15e6
875,Set It Off,1996,USA,123,English,R,36049108,9e6
876,Sgt. Bilko,1996,USA,93,English,PG,30400000,39e6
877,She's the One,1996,USA,96,English,R,9449219,35e5
878,Shine,1996,Australia,105,English,PG-13,35811509,55e5
879,Silent Trigger,1996,Canada,88,English,R,NA,9e6
880,Sleepers,1996,USA,147,English,R,53300852,44e6
881,Sling Blade,1996,USA,148,English,R,24475416,89e4
882,Space Jam,1996,USA,88,English,PG,90443603,8e7
883,Spy Hard,1996,USA,81,English,PG-13,26906039,18e6
884,Star Trek: First Contact,1996,USA,111,English,PG-13,92001027,45e6
885,Striptease,1996,USA,117,English,R,32800000,4e7
886,Swingers,1996,USA,96,English,R,4505922,2e5
887,That Thing You Do!,1996,USA,149,English,PG,25809813,26e6
888,The Adventures of Pinocchio,1996,UK,90,Italian,G,15091542,25e6
889,The Cable Guy,1996,USA,96,English,PG-13,60154431,47e6
890,The Craft,1996,USA,101,English,R,24881000,15e6
891,The Dress,1996,Netherlands,95,Dutch,NA,NA,265e4
892,The English Patient,1996,USA,162,English,R,78651430,27e6
893,The Fan,1996,USA,116,English,R,18573791,55e6
894,The First Wives Club,1996,USA,103,English,PG,105444419,26e6
895,The Funeral,1996,USA,99,English,R,1227324,125e5
896,The Ghost and the Darkness,1996,USA,110,English,R,38553833,55e6
897,The Glimmer Man,1996,USA,91,English,R,20400913,45e6
898,The Hunchback of Notre Dame,1996,USA,91,English,G,100117603,1e8
899,The Island of Dr. Moreau,1996,USA,99,English,PG-13,27663982,4e7
900,The Juror,1996,USA,118,English,R,44834712,44e6
901,The Last Big Thing,1996,USA,98,English,R,22434,NA
902,The Long Kiss Goodnight,1996,USA,121,English,R,33328051,65e6
903,The Mirror Has Two Faces,1996,USA,122,English,PG-13,41252428,42e6
904,The Nutty Professor,1996,USA,95,English,PG-13,128769345,54e6
905,The Pallbearer,1996,USA,98,English,PG-13,NA,8e6
906,The Phantom,1996,Australia,100,English,PG,17300889,45e6
907,The Rock,1996,USA,136,English,R,134006721,75e6
908,Thinner,1996,USA,93,English,R,15171475,85e5
909,Tin Cup,1996,USA,135,English,R,53854588,45e6
910,Trainspotting,1996,UK,94,English,R,16501785,35e5
911,Trees Lounge,1996,USA,95,English,R,695229,13e5
912,Twister,1996,USA,113,English,PG-13,241688385,92e6
913,Up Close & Personal,1996,USA,124,English,PG-13,51045801,6e7
914,Waiting for Guffman,1996,USA,84,English,R,2892582,4e6
915,Walking and Talking,1996,UK,86,English,R,1277257,1e6
916,When the Cat's Away,1996,France,91,French,R,1652472,3e5
917,White Squall,1996,USA,129,English,PG-13,10300000,38e6
918,24 7: Twenty Four Seven,1997,UK,96,English,R,NA,NA
919,8 Heads in a Duffel Bag,1997,USA,95,English,R,3559990,3e6
920,A Simple Wish,1997,USA,89,English,PG,8119205,28e6
921,Absolute Power,1997,USA,121,English,R,50007168,5e7
922,Air Bud,1997,USA,98,English,PG,24629916,3e6
923,Air Force One,1997,USA,124,English,R,172620724,85e6
924,Alien: Resurrection,1997,USA,116,English,R,47748610,75e6
925,Amistad,1997,USA,155,English,R,44175394,36e6
926,An Alan Smithee Film: Burn Hollywood Burn,1997,USA,86,English,R,15447,1e7
927,Anaconda,1997,USA,89,English,PG-13,65557989,45e6
928,Anastasia,1997,USA,94,English,G,58297830,5e7
929,As Good as It Gets,1997,USA,139,English,PG-13,147637474,5e7
930,Austin Powers: International Man of Mystery,1997,USA,68,English,PG-13,53868030,17e6
931,Batman & Robin,1997,USA,125,English,PG-13,107285004,125e6
932,Boogie Nights,1997,USA,155,English,R,26384919,15e6
933,Breakdown,1997,USA,93,English,R,50129186,36e6
934,Cats Don't Dance,1997,USA,75,English,G,3562749,32e6
935,Character,1997,Netherlands,122,Dutch,R,713413,45e5
936,Chasing Amy,1997,USA,113,English,R,12006514,25e4
937,Children of Heaven,1997,Iran,89,Persian,PG,925402,18e4
938,Clockwatchers,1997,UK,96,English,PG-13,444354,NA
939,Con Air,1997,USA,123,English,R,101087161,75e6
940,Conspiracy Theory,1997,USA,135,English,R,76081498,75e6
941,Contact,1997,USA,150,English,PG,100853835,9e7
942,Cop Land,1997,USA,120,English,R,44886089,1e7
943,Critical Care,1997,Australia,107,English,R,141853,12e6
944,Cube,1997,Canada,90,English,R,489220,365e3
945,Dante's Peak,1997,USA,108,English,PG-13,67155742,116e6
946,Deconstructing Harry,1997,USA,96,English,R,10569071,2e7
947,Déjà Vu,1997,USA,117,English,PG-13,821997,NA
948,Donnie Brasco,1997,USA,147,English,R,41954997,35e6
949,Dream with the Fishes,1997,USA,97,English,R,464655,1e6
950,Eve's Bayou,1997,USA,109,English,R,14821531,6e6
951,Event Horizon,1997,UK,130,English,R,26616590,6e7
952,Face/Off,1997,USA,138,English,R,112225777,8e7
953,"First Love, Last Rites",1997,USA,94,English,R,40542,3e5
954,Flubber,1997,USA,90,English,PG,92969824,8e7
955,G.I. Jane,1997,USA,125,English,R,48154732,5e7
956,Gattaca,1997,USA,106,English,PG-13,12339633,36e6
957,George of the Jungle,1997,USA,92,English,PG,105263257,55e6
958,Good Will Hunting,1997,USA,126,English,R,138339411,1e7
959,Grosse Pointe Blank,1997,USA,107,English,R,28014536,15e6
960,Hav Plenty,1997,USA,84,English,R,2301777,65e4
961,How to Be a Player,1997,USA,93,English,R,13960203,NA
962,Hurricane Streets,1997,USA,86,English,R,334041,5e5
963,I Know What You Did Last Summer,1997,USA,99,English,R,72219395,17e6
964,"I Love You, Don't Touch Me!",1997,USA,86,English,R,33598,NA
965,I Married a Strange Person!,1997,USA,75,English,R,203134,25e4
966,In & Out,1997,USA,90,English,PG-13,63826569,35e6
967,In the Company of Men,1997,Canada,97,English,R,2856622,25e3
968,Jackie Brown,1997,USA,154,English,R,39647595,12e6
969,Kiss the Girls,1997,USA,115,English,R,60491560,27e6
970,Kundun,1997,USA,134,English,PG-13,5532301,28e6
971,L.A. Confidential,1997,USA,138,English,R,64604977,35e6
972,Liar Liar,1997,USA,86,English,PG-13,181395380,45e6
973,Love and Death on Long Island,1997,UK,93,English,PG-13,2542264,NA
974,Love Jones,1997,USA,104,English,R,12514138,1e7
975,Mad City,1997,USA,115,English,PG-13,10556196,5e7
976,Men in Black,1997,USA,98,English,PG-13,250147615,9e7
977,Midnight in the Garden of Good and Evil,1997,USA,155,English,R,25078937,3e7
978,Money Talks,1997,USA,97,English,R,41067398,25e6
979,Mortal Kombat: Annihilation,1997,USA,95,English,PG-13,35927406,3e7
980,Mr. Nice Guy,1997,Hong Kong,86,English,PG-13,12674183,NA
981,My Best Friend's Wedding,1997,USA,105,English,PG-13,126805112,46e6
982,Nothing to Lose,1997,USA,98,English,R,44455658,25e6
983,Orgazmo,1997,USA,92,English,NC-17,582024,1e6
984,Oscar and Lucinda,1997,USA,132,English,R,1508689,16e6
985,Prefontaine,1997,USA,106,English,PG-13,532190,8e6
986,Princess Mononoke,1997,Japan,134,Japanese,PG-13,2298191,24e8
987,Scream 2,1997,USA,120,English,R,101334374,24e6
988,Selena,1997,USA,127,English,PG,35422828,2e7
989,Seven Years in Tibet,1997,USA,136,English,PG-13,37901509,7e7
990,Shadow Conspiracy,1997,USA,103,English,R,2154540,45e6
991,Shooting Fish,1997,UK,99,English,PG,302204,3e6
992,Smilla's Sense of Snow,1997,Denmark,121,English,R,2221994,35e6
993,Snow White: A Tale of Terror,1997,USA,100,English,R,NA,26e6
994,Soul Food,1997,USA,115,English,R,43490057,75e5
995,Sparkler,1997,USA,90,English,R,5494,NA
996,Spawn,1997,USA,98,English,R,54967359,4e7
997,Speed 2: Cruise Control,1997,USA,121,English,PG-13,48068396,16e7
998,Spice World,1997,UK,93,English,PG,29247405,25e6
999,Starship Troopers,1997,USA,129,English,R,54700065,105e6
1000,Steel,1997,USA,97,English,PG-13,1686429,16e6
1001,Switchback,1997,USA,118,English,R,6482195,37e6
1002,The Apostle,1997,USA,134,English,PG-13,20733485,5e6
1003,The Borrowers,1997,UK,89,English,PG,22359293,29e6
1004,The Chambermaid on the Titanic,1997,France,101,French,NA,244465,NA
1005,The Cure,1997,Japan,111,Japanese,NA,94596,1e6
1006,The Devil's Advocate,1997,USA,136,English,R,60984028,57e6
1007,The Devil's Own,1997,USA,111,English,R,42877165,86e6
1008,The Edge,1997,USA,117,English,R,27779888,NA
1009,The Fifth Element,1997,France,126,English,PG-13,63540020,93e6
1010,The Full Monty,1997,UK,91,English,R,45857453,35e5
1011,The Full Monty,1997,UK,91,English,R,45857453,35e5
1012,The Game,1997,USA,129,English,R,48265581,5e7
1013,The Ice Storm,1997,USA,112,English,R,7837632,18e6
1014,The Jackal,1997,USA,124,English,R,54910560,6e7
1015,The Last Time I Committed Suicide,1997,USA,92,English,R,12836,4e6
1016,The Lost World: Jurassic Park,1997,USA,129,English,PG-13,229074524,73e6
1017,The Man Who Knew Too Little,1997,USA,94,English,PG,13801755,2e7
1018,The Peacemaker,1997,USA,124,English,R,41256277,5e7
1019,The Postman,1997,USA,177,English,R,17593391,8e7
1020,The Rainmaker,1997,USA,135,English,PG-13,45856732,4e7
1021,The Relic,1997,UK,110,English,R,33927476,4e7
1022,The Saint,1997,USA,116,English,PG-13,61355436,68e6
1023,The Spanish Prisoner,1997,USA,110,English,PG,10200000,1e7
1024,The Sticky Fingers of Time,1997,USA,81,English,NA,18195,25e4
1025,The Sweet Hereafter,1997,Canada,112,English,R,4306697,5e6
1026,The Swindle,1997,France,101,French,NA,231417,6e7
1027,Titanic,1997,USA,194,English,PG-13,658672302,2e8
1028,Tomorrow Never Dies,1997,UK,119,English,PG-13,125332007,11e7
1029,Trekkies,1997,USA,86,English,PG,617172,375e3
1030,Turbulence,1997,USA,100,English,R,11466088,71e6
1031,Two Girls and a Guy,1997,USA,84,English,R,1950218,1e6
1032,Ulee's Gold,1997,USA,113,English,R,9054736,27e5
1033,Volcano,1997,USA,104,English,PG-13,47474112,9e7
1034,Wag the Dog,1997,USA,97,English,R,43022524,15e6
1035,Warriors of Virtue,1997,USA,101,English,PG,6448817,35e6
1036,20 Dates,1998,USA,87,English,R,536767,6e4
1037,54,1998,USA,121,English,R,16574731,13e6
1038,A Bug's Life,1998,USA,95,English,G,162792677,12e7
1039,A Civil Action,1998,USA,115,English,PG-13,56702901,6e7
1040,A Night at the Roxbury,1998,USA,82,English,PG-13,30324946,17e6
1041,A Simple Plan,1998,UK,121,English,R,16311763,17e6
1042,American History X,1998,USA,101,English,R,6712241,75e5
1043,Among Giants,1998,UK,93,English,R,64359,25e5
1044,Antz,1998,USA,83,English,PG,90646554,105e6
1045,Armageddon,1998,USA,153,English,PG-13,201573391,14e7
1046,Babe: Pig in the City,1998,Australia,97,English,G,18318000,8e7
1047,Barney's Great Adventure,1998,Canada,76,English,G,11144518,15e6
1048,Beloved,1998,USA,172,English,R,22843047,55e6
1049,Blade,1998,USA,110,English,R,70001065,45e6
1050,Bride of Chucky,1998,Canada,89,English,R,32368960,25e6
1051,Broken Vessels,1998,USA,90,English,R,13493,6e5
1052,Buffalo '66,1998,USA,110,English,R,2365931,15e5
1053,Bulworth,1998,USA,108,English,R,26525834,3e7
1054,Can't Hardly Wait,1998,USA,100,English,PG-13,25339117,1e7
1055,Celebrity,1998,USA,113,English,R,5032496,12e6
1056,Central Station,1998,Brazil,113,Portuguese,R,5595428,29e5
1057,Chairman of the Board,1998,USA,95,English,PG-13,306715,1e7
1058,City of Angels,1998,Germany,114,English,PG-13,78745923,55e6
1059,Clay Pigeons,1998,Germany,104,English,R,1789892,8e6
1060,"Dancer, Texas Pop. 81",1998,USA,97,English,PG,565592,NA
1061,Dark City,1998,Australia,111,English,R,14337579,27e6
1062,Dead Man on Campus,1998,USA,96,English,R,15062898,14e6
1063,Deep Impact,1998,USA,120,English,PG-13,140459099,75e6
1064,Deep Rising,1998,USA,106,English,R,11146409,45e6
1065,Desert Blue,1998,USA,90,English,R,99147,2e6
1066,Dirty Work,1998,Canada,82,English,PG-13,9975684,13e6
1067,Disturbing Behavior,1998,Australia,84,English,R,17411331,15e6
1068,Doctor Dolittle,1998,USA,85,English,PG-13,144156464,715e5
1069,Earth,1998,India,110,Hindi,Unrated,528972,NA
1070,Elizabeth,1998,UK,124,English,R,30012990,25e6
1071,Enemy of the State,1998,USA,140,English,R,111544445,9e7
1072,Ever After: A Cinderella Story,1998,USA,121,English,PG-13,65703412,26e6
1073,Fear and Loathing in Las Vegas,1998,USA,118,English,R,10562387,185e5
1074,Gods and Monsters,1998,USA,105,English,R,6390032,35e5
1075,Half Baked,1998,USA,82,English,R,17278980,8e6
1076,Happiness,1998,USA,134,English,NA,3000000,3e6
1077,Hard Rain,1998,USA,97,English,R,19819494,7e7
1078,He Got Game,1998,USA,136,English,R,21554585,25e6
1079,Holy Man,1998,USA,114,English,PG,12065985,6e7
1080,Home Fries,1998,USA,91,English,PG-13,10443316,15e6
1081,Hope Floats,1998,USA,114,English,PG-13,60033780,3e7
1082,How Stella Got Her Groove Back,1998,USA,124,English,R,37672350,2e7
1083,I Got the Hook Up,1998,USA,93,English,R,10305534,35e5
1084,I Still Know What You Did Last Summer,1998,USA,100,English,R,39989008,24e6
1085,Illuminata,1998,Spain,119,English,R,836641,NA
1086,Knock Off,1998,Aruba,91,English,R,10076136,35e6
1087,La otra conquista,1998,Mexico,106,Spanish,R,886410,35e5
1088,Les couloirs du temps: Les visiteurs II,1998,France,118,French,NA,146072,14e7
1089,Lethal Weapon 4,1998,USA,127,English,R,129734803,14e7
1090,Little Voice,1998,UK,97,English,R,4595000,NA
1091,Living Out Loud,1998,USA,100,English,R,12902790,12e6
1092,"Lock, Stock and Two Smoking Barrels",1998,UK,120,English,R,3650677,96e4
1093,Lost in Space,1998,USA,130,English,PG-13,69102910,8e7
1094,Meet Joe Black,1998,USA,178,English,PG-13,44606335,9e7
1095,Meet the Deedles,1998,USA,93,English,PG,4308981,24e6
1096,Mercury Rising,1998,USA,111,English,R,32940507,6e7
1097,Mercury Rising,1998,USA,111,English,R,32940507,6e7
1098,Mighty Joe Young,1998,USA,114,English,PG,50628009,9e7
1099,Mulan,1998,USA,88,English,G,120618403,9e7
1100,Naturally Native,1998,USA,107,English,PG-13,10508,7e5
1101,Next Stop Wonderland,1998,USA,104,English,R,3386698,1e6
1102,One True Thing,1998,USA,127,English,R,23209440,3e7
1103,Out of Sight,1998,USA,123,English,R,37339525,48e6
1104,Patch Adams,1998,USA,115,English,PG-13,135014968,5e7
1105,Pi,1998,USA,84,English,R,3216970,6e4
1106,Practical Magic,1998,USA,104,English,PG-13,46611204,48e6
1107,Primary Colors,1998,France,143,English,R,38966057,65e6
1108,Ronin,1998,UK,122,English,R,41609593,55e6
1109,Rounders,1998,USA,121,English,R,22905674,12e6
1110,Run Lola Run,1998,Germany,81,German,R,7267324,35e5
1111,Rushmore,1998,USA,93,English,R,17096053,9e6
1112,Safe Men,1998,USA,88,English,R,21210,1e6
1113,Saving Private Ryan,1998,USA,169,English,R,216119491,7e7
1114,Shakespeare in Love,1998,USA,123,English,R,100241322,25e6
1115,Simon Birch,1998,USA,114,English,PG,18252684,3e7
1116,Six Days Seven Nights,1998,USA,98,English,PG-13,74329966,7e7
1117,Six-String Samurai,1998,USA,91,English,PG-13,124494,2e6
1118,Slam,1998,USA,100,English,R,982214,1e6
1119,Sliding Doors,1998,UK,99,English,R,11883495,9e6
1120,Slums of Beverly Hills,1998,USA,91,English,R,5480318,5e6
1121,Small Soldiers,1998,USA,108,English,PG-13,53955614,4e7
1122,Smoke Signals,1998,Canada,89,English,PG-13,6719300,2e6
1123,Snake Eyes,1998,USA,98,English,R,55585389,69e6
1124,Soldier,1998,UK,99,English,R,14567883,75e6
1125,Sphere,1998,USA,134,English,PG-13,36976367,75e6
1126,Star Trek: Insurrection,1998,USA,103,English,PG,70117571,58e6
1127,Stepmom,1998,USA,124,English,PG-13,91030827,5e7
1128,Stiff Upper Lips,1998,UK,94,English,R,69582,NA
1129,Tango,1998,Spain,115,Spanish,PG-13,1687311,7e8
1130,Taxman,1998,USA,104,English,R,NA,1e6
1131,The Big Hit,1998,USA,91,English,R,27052167,13e6
1132,The Big Lebowski,1998,USA,117,English,R,17439163,15e6
1133,The Big Swap,1998,UK,114,English,NA,NA,NA
1134,The Celebration,1998,Denmark,105,Danish,R,1647780,13e5
1135,The Faculty,1998,USA,104,English,R,40064955,15e6
1136,The Horse Whisperer,1998,USA,170,English,PG-13,75370763,6e7
1137,The Land Girls,1998,UK,111,English,R,146083,NA
1138,The Love Letter,1998,USA,99,English,Unrated,NA,NA
1139,The Love Letter,1998,USA,99,English,Unrated,NA,NA
1140,The Magic Sword: Quest for Camelot,1998,USA,86,English,G,22717758,4e7
1141,The Man in the Iron Mask,1998,USA,132,English,PG-13,56876365,35e6
1142,The Mask of Zorro,1998,USA,136,English,PG-13,93771072,65e6
1143,The Mighty,1998,USA,100,English,PG-13,2643689,NA
1144,The Negotiator,1998,Germany,140,English,R,44484065,5e7
1145,The Newton Boys,1998,USA,123,English,PG-13,10297897,27e6
1146,The Object of My Affection,1998,USA,111,English,R,29106737,15e6
1147,The Players Club,1998,USA,104,English,R,23031390,45e5
1148,The Prince of Egypt,1998,USA,99,English,PG,101217900,7e7
1149,The Red Violin,1998,Canada,130,French,R,9473382,1e7
1150,The Replacement Killers,1998,USA,96,English,R,18967571,3e7
1151,The Rugrats Movie,1998,USA,83,English,G,100491683,24e6
1152,The Siege,1998,USA,116,English,R,40932372,7e7
1153,The Thin Red Line,1998,USA,215,English,R,36385763,52e6
1154,The Truman Show,1998,USA,103,English,PG,125603360,6e7
1155,The Velocity of Gary,1998,USA,100,English,R,NA,4e6
1156,The Waterboy,1998,USA,90,English,PG-13,161487252,2e7
1157,The X Files,1998,USA,121,English,PG-13,83892374,66e6
1158,There's Something About Mary,1998,USA,107,English,R,176483808,23e6
1159,Urban Legend,1998,USA,99,English,R,38048637,14e6
1160,Vampires,1998,USA,104,English,R,20241395,2e7
1161,Velvet Goldmine,1998,UK,124,English,R,1043487,NA
1162,Very Bad Things,1998,USA,100,English,R,9801782,1e7
1163,Waking Ned Devine,1998,UK,91,English,PG,24788807,3e6
1164,What Dreams May Come,1998,USA,113,English,PG-13,55350897,85e6
1165,Wild Things,1998,USA,115,English,R,29753944,2e7
1166,Without Limits,1998,USA,117,English,PG-13,777423,25e6
1167,Woo,1998,USA,84,English,R,8026971,13e6
1168,You've Got Mail,1998,USA,119,English,PG,115731542,65e6
1169,Zero Effect,1998,USA,116,English,R,1980338,5e6
1170,10 Things I Hate About You,1999,USA,97,English,PG-13,38176108,16e6
1171,200 Cigarettes,1999,USA,101,English,R,6851636,6e6
1172,8MM,1999,Germany,123,English,R,36283504,4e7
1173,A Dog of Flanders,1999,USA,100,English,PG,2148212,7e6
1174,A Room for Romeo Brass,1999,UK,90,English,R,18434,NA
1175,A Walk on the Moon,1999,USA,107,English,R,4741987,14e6
1176,Aimee & Jaguar,1999,Germany,125,German,NA,927107,15e6
1177,American Beauty,1999,USA,122,English,R,130058047,15e6
1178,American Pie,1999,USA,95,English,R,101736215,11e6
1179,An Ideal Husband,1999,UK,97,English,PG-13,18535191,14e6
1180,Analyze This,1999,USA,103,English,R,106694016,3e7
1181,Angela's Ashes,1999,USA,145,English,R,13038660,25e6
1182,Anna and the King,1999,USA,148,English,PG-13,39251128,75e6
1183,Any Given Sunday,1999,USA,156,English,R,75530832,55e6
1184,Anywhere But Here,1999,USA,114,English,PG-13,18653615,23e6
1185,Arlington Road,1999,USA,117,English,R,24362501,215e5
1186,At First Sight,1999,USA,128,English,PG-13,22326247,6e7
1187,Austin Powers: The Spy Who Shagged Me,1999,USA,95,English,PG-13,205399422,33e6
1188,Baby Geniuses,1999,USA,97,English,PG,27141959,18e6
1189,Bats,1999,USA,91,English,PG-13,10149779,65e5
1190,Being John Malkovich,1999,USA,112,English,R,22858926,13e6
1191,Beyond the Mat,1999,USA,108,English,R,2047570,5e5
1192,Bicentennial Man,1999,USA,132,English,PG,58220776,1e8
1193,Big Daddy,1999,USA,93,English,PG-13,163479795,342e5
1194,Blast from the Past,1999,USA,112,English,PG-13,26494611,35e6
1195,Blue Streak,1999,USA,93,English,PG-13,68208190,65e6
1196,Bowfinger,1999,USA,85,English,PG-13,66365290,55e6
1197,Boys Don't Cry,1999,USA,118,English,R,11533945,2e6
1198,Breakfast of Champions,1999,USA,110,English,R,175370,12e6
1199,Bringing Out the Dead,1999,USA,121,English,R,16640210,55e6
1200,Brokedown Palace,1999,USA,100,English,PG-13,10114315,25e6
1201,But I'm a Cheerleader,1999,USA,85,English,R,2199853,12e5
1202,Chill Factor,1999,USA,102,English,R,11227940,34e6
1203,Cradle Will Rock,1999,USA,132,English,R,2899970,32e6
1204,Crazy in Alabama,1999,USA,111,English,PG-13,1954202,15e6
1205,Cruel Intentions,1999,USA,97,English,R,38201895,105e5
1206,Deep Blue Sea,1999,USA,105,English,R,73648142,6e7
1207,Deterrence,1999,France,104,English,R,144583,8e5
1208,Detroit Rock City,1999,USA,95,English,R,4193025,15e6
1209,Deuce Bigalow: Male Gigolo,1999,USA,88,English,R,65535067,17e6
1210,Dick,1999,France,94,English,PG-13,6241697,13e6
1211,Dogma,1999,USA,130,English,R,30651422,1e7
1212,Double Jeopardy,1999,USA,105,English,R,116735231,7e7
1213,Doug's 1st Movie,1999,USA,77,English,G,19421271,5e6
1214,Dreaming of Joseph Lees,1999,USA,92,English,R,7680,2e6
1215,Drive Me Crazy,1999,USA,91,English,PG-13,17843379,8e6
1216,Drop Dead Gorgeous,1999,Germany,97,English,PG-13,10561238,1e7
1217,Dudley Do-Right,1999,USA,77,English,PG,9694105,22e6
1218,East Is East,1999,UK,96,English,R,4170647,19e5
1219,Edtv,1999,USA,122,English,PG-13,22362500,55e6
1220,Election,1999,USA,103,English,R,14879556,8e6
1221,End of Days,1999,USA,121,English,R,66862068,83e6
1222,Entrapment,1999,USA,113,English,PG-13,87704396,66e6
1223,eXistenZ,1999,Canada,115,English,R,2840417,31e6
1224,Eye of the Beholder,1999,Canada,109,English,R,16459004,15e6
1225,Eyes Wide Shut,1999,UK,159,English,R,55637680,65e6
1226,Fantasia 2000,1999,USA,74,English,G,60507228,8e7
1227,Felicia's Journey,1999,Canada,116,English,PG-13,819852,NA
1228,Fight Club,1999,USA,151,English,R,37023395,63e6
1229,Flawless,1999,USA,112,English,R,4485485,15e6
1230,Foolish,1999,USA,84,English,R,6026908,2e6
1231,For Love of the Game,1999,USA,137,English,PG-13,35168395,5e7
1232,Galaxy Quest,1999,USA,102,English,PG,71423726,45e6
1233,Ghost Dog: The Way of the Samurai,1999,France,116,English,R,3300230,NA
1234,"Girl, Interrupted",1999,USA,127,English,R,28871190,24e6
1235,Go,1999,USA,102,English,R,16842303,65e5
1236,Godzilla 2000,1999,Japan,99,Japanese,PG,10037390,1e9
1237,"Happy, Texas",1999,USA,98,English,PG-13,1943649,17e5
1238,Held Up,1999,USA,89,English,PG-13,4692814,8e6
1239,House on Haunted Hill,1999,USA,93,English,R,40846082,19e6
1240,Human Traffic,1999,UK,99,English,R,104257,22e5
1241,Idle Hands,1999,USA,92,English,R,4002955,2e7
1242,In Dreams,1999,USA,100,English,R,11900000,3e7
1243,In Too Deep,1999,USA,95,English,R,14003141,7e6
1244,Inspector Gadget,1999,USA,110,English,PG,97360069,75e6
1245,Instinct,1999,USA,126,English,R,34098563,55e6
1246,Jakob the Liar,1999,France,120,English,PG-13,4956401,15e6
1247,Jawbreaker,1999,USA,87,English,R,3071947,35e5
1248,Jesus' Son,1999,USA,107,English,R,1282084,25e5
1249,Just Looking,1999,USA,97,English,R,39852,3e6
1250,Lake Placid,1999,USA,82,English,R,31768374,27e6
1251,Light It Up,1999,USA,99,English,R,5871603,13e6
1252,Limbo,1999,USA,126,English,R,1997807,8e6
1253,Love Stinks,1999,USA,94,English,R,2800000,4e6
1254,Magnolia,1999,USA,188,English,R,22450975,37e6
